CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run.py
MEM 613.820312 1701175028.9900
MEM 613.820312 1701175029.1232
MEM 613.820312 1701175029.2563
MEM 613.820312 1701175029.3893
MEM 613.820312 1701175029.5224
MEM 613.820312 1701175029.6554
MEM 613.820312 1701175029.7875
MEM 613.820312 1701175029.9223
MEM 613.820312 1701175030.0569
MEM 613.820312 1701175030.1901
MEM 613.820312 1701175030.3234
MEM 613.820312 1701175030.4564
MEM 613.820312 1701175030.5898
MEM 613.820312 1701175030.7231
MEM 613.820312 1701175030.8561
MEM 613.824219 1701175030.9891
MEM 613.878906 1701175031.1221
MEM 613.878906 1701175031.2553
MEM 613.878906 1701175031.3882
MEM 613.878906 1701175031.5228
MEM 613.878906 1701175031.6563
MEM 613.878906 1701175031.7897
MEM 613.878906 1701175031.9233
MEM 613.878906 1701175032.0562
MEM 613.878906 1701175032.1894
MEM 613.878906 1701175032.3225
MEM 613.878906 1701175032.4562
MEM 613.878906 1701175032.5888
MEM 613.878906 1701175032.7217
MEM 613.878906 1701175032.8539
MEM 613.878906 1701175032.9890
MEM 613.878906 1701175033.1230
MEM 613.878906 1701175033.2564
MEM 613.878906 1701175033.3896
MEM 613.878906 1701175033.5228
MEM 613.878906 1701175033.6557
MEM 613.878906 1701175033.7885
MEM 613.878906 1701175033.9217
MEM 613.878906 1701175034.0566
MEM 613.878906 1701175034.1927
MEM 613.878906 1701175034.3275
MEM 613.878906 1701175034.4618
MEM 613.878906 1701175034.5993
MEM 613.878906 1701175034.7342
MEM 613.878906 1701175034.8696
MEM 613.878906 1701175035.0031
MEM 613.878906 1701175035.1366
MEM 613.878906 1701175035.2695
MEM 613.878906 1701175035.4033
MEM 613.878906 1701175035.5366
MEM 613.878906 1701175035.6696
MEM 613.878906 1701175035.8033
MEM 613.878906 1701175035.9367
MEM 613.878906 1701175036.0681
MEM 613.878906 1701175036.2031
MEM 613.878906 1701175036.3370
MEM 613.878906 1701175036.4706
MEM 613.878906 1701175036.6041
MEM 613.878906 1701175036.7382
MEM 613.878906 1701175036.8719
MEM 613.878906 1701175037.0052
MEM 613.878906 1701175037.1380
MEM 613.878906 1701175037.2711
MEM 614.058594 1701175037.4041
MEM 614.058594 1701175037.5366
MEM 614.058594 1701175037.6695
MEM 614.058594 1701175037.8044
MEM 614.058594 1701175037.9376
MEM 614.058594 1701175038.0710
MEM 614.058594 1701175038.2042
MEM 614.058594 1701175038.3368
MEM 614.058594 1701175038.4705
MEM 614.058594 1701175038.6044
MEM 614.058594 1701175038.7375
MEM 614.058594 1701175038.8706
MEM 614.058594 1701175039.0037
MEM 614.058594 1701175039.1365
MEM 614.058594 1701175039.2709
MEM 614.058594 1701175039.4044
MEM 614.058594 1701175039.5371
MEM 614.058594 1701175039.6713
MEM 614.058594 1701175039.8038
MEM 614.058594 1701175039.9367
MEM 614.058594 1701175040.0693
MEM 614.058594 1701175040.2017
MEM 614.058594 1701175040.3349
MEM 614.058594 1701175040.4681
MEM 614.058594 1701175040.6011
MEM 614.058594 1701175040.7339
MEM 614.058594 1701175040.8687
MEM 614.058594 1701175041.0019
MEM 614.058594 1701175041.1353
MEM 614.058594 1701175041.2683
MEM 614.058594 1701175041.4015
MEM 614.058594 1701175041.5351
MEM 614.058594 1701175041.6683
MEM 614.058594 1701175041.8013
MEM 614.058594 1701175041.9343
MEM 614.058594 1701175042.0677
MEM 614.058594 1701175042.2006
MEM 614.058594 1701175042.3335
MEM 614.058594 1701175042.4680
MEM 614.058594 1701175042.6014
MEM 614.058594 1701175042.7353
MEM 614.058594 1701175042.8687
MEM 614.058594 1701175043.0019
MEM 614.058594 1701175043.1349
MEM 614.058594 1701175043.2682
MEM 614.058594 1701175043.4017
MEM 614.058594 1701175043.5348
MEM 614.058594 1701175043.6681
MEM 614.058594 1701175043.8013
MEM 614.058594 1701175043.9329
MEM 614.058594 1701175044.0684
MEM 614.058594 1701175044.2021
MEM 614.058594 1701175044.3352
MEM 614.058594 1701175044.4696
MEM 614.058594 1701175044.6029
MEM 614.058594 1701175044.7355
MEM 614.058594 1701175044.8686
MEM 614.058594 1701175045.0018
MEM 614.058594 1701175045.1347
